bed,bath,acre_lot,zip_code,house_size,price,city
6.0,5.0,0.27,717.0,3953.0,349900.0,1650
3.0,1.0,0.11,669.0,870.0,99000.0,1078
3.0,2.0,0.11,698.0,1000.0,67000.0,2384
4.0,1.0,0.11,731.0,1562.0,121500.0,1650
3.0,2.0,0.72,685.0,1134.0,17850.0,1821
3.0,2.0,0.25,685.0,875.0,115000.0,1821
5.0,3.0,2.43,795.0,2625.0,295000.0,1010
4.0,2.0,0.09,976.0,1700.0,299000.0,2107
8.0,7.0,0.09,730.0,4036.0,250000.0,1650
3.0,2.0,0.67,685.0,1134.0,50000.0,1821
3.0,2.0,11.0,612.0,1100.0,119900.0,61
3.0,2.0,0.3,685.0,1134.0,42000.0,980
3.0,2.0,0.33,757.0,1166.0,40000.0,1832
3.0,2.0,204.51,669.0,4161.0,236500.0,1078
4.0,2.0,0.25,659.0,1641.0,50000.0,892
4.0,2.0,0.21,659.0,1641.0,50000.0,892
3.0,2.0,0.28,603.0,2000.0,195000.0,16
3.0,2.0,0.22,603.0,1895.0,200000.0,16
6.0,2.0,0.11,660.0,2914.0,95000.0,956
3.0,2.0,0.12,677.0,2000.0,295000.0,1732
3.0,2.0,0.1,660.0,1100.0,128000.0,956
3.0,2.0,0.62,677.0,2000.0,78000.0,1732
3.0,2.0,0.19,662.0,1800.0,195000.0,980
3.0,2.0,0.25,677.0,2000.0,50000.0,1732
3.0,2.0,6.77,677.0,2000.0,275000.0,1732
4.0,2.0,87.41,680.0,761.5,290000.0,1230
3.0,2.0,38.54,623.0,1205.0,350000.0,297
3.0,2.0,0.52,677.0,2000.0,208799.0,1732
3.0,2.0,0.54,677.0,2000.0,219300.0,1732
3.0,2.0,47.0,677.0,2000.0,2000000.0,1732
3.0,2.0,0.1,612.0,1100.0,81900.0,61
3.0,3.0,0.22,612.0,2673.0,147600.0,61
4.0,2.0,0.22,612.0,2760.0,109000.0,61
3.0,1.0,0.08,612.0,785.0,73000.0,61
3.0,2.0,18.0,612.0,1100.0,135000.0,61
3.0,1.0,0.25,612.0,1403.0,78000.0,61
3.0,2.0,235.0,612.0,1100.0,4700000.0,61
3.0,2.0,6.21,612.0,1100.0,270000.0,61
3.0,2.0,179.0,612.0,1100.0,4475000.0,61
3.0,2.0,0.97,612.0,1100.0,39000.0,61
6.0,4.0,0.25,612.0,2200.0,81900.0,61
3.0,2.0,0.2,612.0,1100.0,50000.0,61
3.0,2.0,0.08,612.0,1050.0,69000.0,61
3.0,2.0,0.24,612.0,1100.0,65000.0,61
2.0,1.0,0.25,612.0,940.0,95000.0,892
3.0,2.0,0.23,612.0,1100.0,63500.0,61
4.0,2.0,0.2,662.0,1933.0,195000.0,980
4.0,2.0,0.36,693.0,2030.0,62000.0,2146
3.0,2.0,0.08,674.0,1086.0,125000.0,1188
4.0,2.0,0.11,693.0,1688.0,77000.0,2146
3.0,1.0,0.12,693.0,748.0,82000.0,2146
4.0,2.0,0.11,659.0,2327.0,299900.0,892
3.0,1.0,0.12,650.0,800.0,28000.0,705
5.0,2.0,8.54,687.0,1414.0,225000.0,1332
3.0,1.0,0.09,693.0,1000.0,75200.0,2146
4.0,2.0,0.49,659.0,1641.0,160000.0,892
4.0,2.0,1.29,659.0,1641.0,119000.0,892
4.0,3.0,0.22,678.0,900.0,89000.0,1692
4.0,3.0,5.64,678.0,900.0,1900000.0,1692
4.0,3.0,10.76,646.0,2850.0,60660.0,528
